text_original,video_source,text_clean,sentiment
"Pertandingan internasional rasa tarkam. . 
 
 Bikin emosi aja nontonnya..",Youtube,pertandingan internasional rasa tarkam membuat emosi saja nontonnya,negative
"Menurut saya sebagai orang bodoh....kesalahan PSSI itu mengganti STY dengan petrik klukampret pas STY sudah berjuang di seperempat perjalanan menuju piala dunia...yang mengerti proses STY, yg membangun timnas hingga pemain lokal berchemistry dengan pemain naturalisasi ya STY...sementara si klukampret gak tahu apa².. harus nya si klukampret kalo mau di kontrak jangan menggantikan STY...tapi tempatkan di junior, dia bisa melatih sekaligus menimba ilmu dan berproses...gak secara langsung gini...jadi pelatih plonga plongo yg berfikir malah asistennya...itu yg gua liat pas ke sorot kamera. 😂",Youtube,menurut saya sebagai orang bodoh kesalahan pssi itu mengganti sty dengan petrik klukampret pas sty sudah berjuang di seperempat perjalanan menuju piala dunia yang mengerti proses sty yang membangun timnas hingga pemain lokal berchemistry dengan pemain naturalisasi ya sty sementara si klukampret tidak tahu apa harus nya si klukampret kalo mau di kontrak jangan menggantikan sty tapi tempatkan di junior dia bisa melatih sekaligus menimba ilmu dan berproses tidak secara langsung gini jadi pelatih plonga plongo yang berfikir malah asistennya itu yang saya liat pas ke sorot kamera,negative
"Masalahnya bang, kata peter drury, nearly is nothing. Hancur dah tuh abang abang gua.. s*alan... 
 
 Maafkan Orang orang di negeri ini coach shin :(",Youtube,masalahnya bang kata peter drury nearly is nothing hancur sudah tuh abang abang saya s alan maafkan orang orang di negeri ini coach shin,negative
"Erick Tohir mundur ! Kluivert pecat tidak hormat. 
 
 STY kembali jadi pelatih senior dan u23.",Youtube,erick tohir mundur kluivert pecat tidak hormat sty kembali jadi pelatih senior dan kamu,neutral
"yaa...begitulah Timnas kita nanti ujung""nya lupakan saja, sekarang buka babak baru gitulah lagu lama.",Youtube,yaa begitulah timnas kita nanti ujung nya lupakan saja sekarang buka babak baru gitulah lagu lama,neutral
aduh main kaya gini....bisa babak belur kalau lawan thailand atau vietnam,Youtube,aduh main kaya gini bisa babak belur kalau lawan thailand atau vietnam,neutral
bersih2 dulu ah😏,Youtube,bersih dulu ah,neutral
terima kasih telah mewakili suara pecinta timnas yg waras bang ❤,Youtube,terima kasih telah mewakili suara pecinta timnas yang waras bang,positive
"Pokok sdh bs di baca jelas klo indo klh pasti ada mafia di dlmnya.
 Utk novarianto klo di ajak kerjasama oleh mafia tdk mau menanggung akibatnya pasti di musuhi seperti sty. Jgn takut pak nova ktn 
 Rakyat bersama nova.",Youtube,pokok sudah bs di baca jelas klo indo klh pasti ada mafia di dlmnya utk novarianto klo di ajak kerjasama oleh mafia tidak mau menanggung akibatnya pasti di musuhi seperti sty jgn takut pak nova ktn rakyat bersama nova,positive
"setelah ganti pelatih, kita wajib tuntut lolos pildun, masuk semi final Asia, tembus 90 dalam 1 tahun, klo gagal exco pssi out, SETUJU???",Tiktok,setelah ganti pelatih kita wajib tuntut lolos pildun masuk semi final asia tembus dalam tahun klo gagal exco pssi out setuju,neutral
sisapri kemarin Jen raven di cadangin malah maenin Arjuna pemain tarkam,Youtube,sisapri kemarin jen raven di cadangin malah maenin arjuna pemain tarkam,negative
"Gua ada dongeng konspirasi di negeri kartun bang, pada suatu konpetisi antar wilayah. Ada salah satu wilayah musuh (A) yang sedang membangun komptisi lokal dengan mendatangkan pemain bintang dll, lalu wilayah (A) ini sedang mengalami pertandingan dengan wilayah lain (B), bukan lokal tapi antar wilayah, dengan kemungkinan kalah 90%. Lalu petinggi wilayah (A) mencoba mengusahakan gimanapun caranya (A) bisa lolos kualifikasi piala antar wilayah. Dengan bekal informasi petinggi (A) mebgetahui bahwa wilayah (B) memiliki integritas yang sampah dan hukum yang tidak jelas. Maka petinggi wilayah (A) merusak dari arah sana. Dengan mencoba untuk membujuk petinggi dengan mengganti guru tim wilayah (A) agar permaianan amburadul. Dan ternyata berhasil. Itulah dongeng mimpi kartun diwilayah aneh 🍽️ silahkan dibahas teori nya bang 🤪",Youtube,saya ada dongeng konspirasi di negeri kartun bang pada suatu konpetisi antar wilayah ada salah satu wilayah musuh a yang sedang membangun komptisi lokal dengan mendatangkan pemain bintang dll lalu wilayah a ini sedang mengalami pertandingan dengan wilayah lain b bukan lokal tapi antar wilayah dengan kemungkinan kalah lalu petinggi wilayah a mencoba mengusahakan gimanapun caranya a bisa lolos kualifikasi piala antar wilayah dengan bekal informasi petinggi a mebgetahui bahwa wilayah b memiliki integritas yang sampah dan hukum yang tidak jelas maka petinggi wilayah a merusak dari arah sana dengan mencoba untuk membujuk petinggi dengan mengganti guru tim wilayah a agar permaianan amburadul dan ternyata berhasil itulah dongeng mimpi kartun diwilayah aneh silahkan dibahas teori nya bang,negative
"ANOMALI BINTANG LAUT
 datang
 ngancurin
 pulang",Tiktok,anomali bintang laut datang ngancurin pulang,negative
"JEJE sendiri bilang PARK HANG SEO itu di korea namanya LEBIH JELEK DARI STY.. di antara circle pelatih korea,, dia itu kgk punya ILMU.. mirip KLUIVERT.. yg bikin VIETNAM bagus itu asisten pelatihnya.. dia itu bener bener kayak PK gaya melatihnya ga paham apa pun.. JEJE sendiri yg sebagai orang korea umbar hal tersebut.
 jadi klo koci bilang vietnam lebih bagus karena PARK itu salah.. yg kerja itu asistennya wkwkwk PHS cuma numpang nama, mirip"" lah sama tim KEPELATIHAN terbaik yg di pecat wkwkwk",Youtube,jeje sendiri bilang park hang seo itu di korea namanya lebih jelek dari sty di antara circle pelatih korea dia itu kgk punya ilmu mirip kluivert yang membuat vietnam bagus itu asisten pelatihnya dia itu benar benar kayak pk gaya melatihnya tidak paham apa pun jeje sendiri yang sebagai orang korea umbar hal tersebut jadi klo koci bilang vietnam lebih bagus karena park itu salah yang kerja itu asistennya haha phs cuma numpang nama mirip lah sama tim kepelatihan terbaik yang di pecat haha,positive
Kegagalan erik tohir karna memecat sintayong pake logika aja tim nas usia 16 masuk piala duninia karna masih campur tangan sintayong dasar bodoh erik . Pelatih bagus malah di pecat .,Youtube,kegagalan erik tohir karna memecat sintayong pake logika saja tim nas usia masuk piala duninia karna masih campur tangan sintayong dasar bodoh erik pelatih bagus malah di pecat,positive
Gk ada bagus2nya permainan timnas kita,Youtube,tidak ada bagus nya permainan timnas kita,positive
Ambil pelatih dari japan aj kyak tim futsal kita skrg maen bagus..,Youtube,ambil pelatih dari japan aj kyak tim futsal kita sekarang maen bagus,positive
"selamat tinggal piala dunia, terlalu banyak mafia2 bola yang ga ingin KING INDO masuk piala dunia :D",Youtube,selamat tinggal piala dunia terlalu banyak mafia bola yang tidak ingin king indo masuk piala dunia d,positive
Luar biasa. Selamat atas PERTAMA KALI TIDAK LOLOS SEMIFINAL SEAGAMES DLM 15 TAHUN,Youtube,luar biasa selamat atas pertama kali tidak lolos semifinal seagames dlm tahun,positive
Era kegelapan kesukaan bang tow3l,Youtube,era kegelapan kesukaan bang tow l,neutral
"kalo indo di curangin
 patrick:ðŸ˜ðŸ˜ðŸ˜
 sty. :ðŸ¤¬ðŸ˜¡ðŸ—£",Tiktok,kalo indo di curangin patrick sty,negative
bahkan formasi nya pun gak bisa diketahui formasi apa yg dipakai,Youtube,bahkan formasi nya pun tidak bisa diketahui formasi apa yang dipakai,neutral
"Kebiasaan bangsa ini ngk pernah ditinggalkan oleh pejabat publik.
 Yaitu... Merendahkan profesionalitas dan integritas seseorang dengan mempermalukan harga dirinya.
 
 Jangan pernah menghina dedikasi orang yg tulus memberikan kemampuan terbaiknya. Itu pelecehan moralitas & sikap pengecut !!",Youtube,kebiasaan bangsa ini ngk pernah ditinggalkan oleh pejabat publik yaitu merendahkan profesionalitas dan integritas seseorang dengan mempermalukan harga dirinya jangan pernah menghina dedikasi orang yang tulus memberikan kemampuan terbaiknya itu pelecehan moralitas sikap pengecut,positive
"1. pemain belanda dari kecil sudah terbiasa dengan formasi 4 bek, ga make sense disuruh main dg formasi 3 bek 
 2. .....",Youtube,pemain belanda dari kecil sudah terbiasa dengan formasi bek tidak make sense disuruh main dg formasi bek,neutral
"Hanya gara2 STY gk bisa bahasa INDONESIA terus di pecat,ini bukan alasan,ini lah karakter sebahagian orang 
 kita INDONESIA,",Youtube,hanya gara sty tidak bisa bahasa indonesia terus di pecat ini bukan alasan ini lah karakter sebahagian orang kita indonesia,positive
"Selamat tinggal Baginda paduka King Shin tae Yong , jasamu buat timnas Indonesia akan selalu kami kenang",Youtube,selamat tinggal baginda paduka king shin tae yong jasamu buat timnas indonesia akan selalu kami kenang,positive
Federasi terlalu ikut campur di ruang ganti... Semua Anggota PSSI jangan suka masuk ruang ganti. Biarkan itu urusan pelatih.,Youtube,federasi terlalu ikut campur di ruang ganti semua anggota pssi jangan suka masuk ruang ganti biarkan itu urusan pelatih,neutral
"gk habis pikir sama pengurus pssi, pelatih yng jelas2 udah bawa timnas maju malah di pecat dan ini juga di sea games yng buat pengembangan bukannya ambil pelatih bagus mlh ambil pelatih sering di pecat trus di ambil lagi",Tiktok,tidak habis pikir sama pengurus pssi pelatih yng jelas sudah bawa timnas maju malah di pecat dan ini juga di sea games yng buat pengembangan bukannya ambil pelatih bagus malah ambil pelatih sering di pecat trus di ambil lagi,positive
"anak nya STY. merasakan apa yg saya rasakan. Saya kira hanya berlaku pada orang indo yang telah berusaha untuk mengharumkan nama indonesia. Tp orang asing pun merasakannya. Bagaimana indo bisa berkembang jika jasa"" yang mengharumkan nama indo tidak dihargai sampai saat ini. Sudah pernah terjadi dan coba di up pas Acra om DC, di hitam putih tentang bagaimana menghargai para atlet yang mengharumkan nama negara.",Youtube,anak nya sty merasakan apa yang saya rasakan saya kira hanya berlaku pada orang indo yang telah berusaha untuk mengharumkan nama indonesia tp orang asing pun merasakannya bagaimana indo bisa berkembang jika jasa yang mengharumkan nama indo tidak dihargai sampai saat ini sudah pernah terjadi dan coba di up pas acra om dc di hitam putih tentang bagaimana menghargai para atlet yang mengharumkan nama negara,neutral
"Sudah dibilang beknya kadek arel itu bosok, striker Mauro itu bosok, Strurige juga klemak kelemer tidak ada peningkatan",Youtube,sudah dibilang beknya kadek arel itu bosok striker mauro itu bosok strurige juga klemak kelemer tidak ada peningkatan,neutral
lebih mentingin egoo,Tiktok,lebih mentingin egoo,neutral
Harus semua org akui Jens Revan tu mengingatkan kita dgn C. Gonzales finisingnya bagus lho dari dulu konsisten cetak goal bahkan cuma dia pemain dpn Timnas skrg yg selalu cetak goal seharus pantas naik ke senior. Koqmalah hoki dgn zilsta yg kesenior aneh ni titipan,Youtube,harus semua org akui jens revan tu mengingatkan kita dgn c gonzales finisingnya bagus lho dari dulu konsisten cetak goal bahkan cuma dia pemain dpn timnas sekarang yang selalu cetak goal seharus pantas naik ke senior koqmalah hoki dgn zilsta yang kesenior aneh ni titipan,positive
Lu yg yakinin sty out botak,Youtube,kamu yang yakinin sty out botak,neutral
"Wihhh lagi kerja ya? Buat keluarga dirumah ya, iya semangat harus tetap Ngoyo kerjanya ""kan laki-laki"". Semangat",Youtube,wihhh lagi kerja ya buat keluarga dirumah ya iya semangat harus tetap ngoyo kerjanya kan laki laki semangat,positive
"Mungkin alasan terbesar untuk mempertahankan petrick, supaya pemain titipan bisa masuk timnas.
 MUNGKIN.
 🙄🙄",Youtube,mungkin alasan terbesar untuk mempertahankan petrick supaya pemain titipan bisa masuk timnas mungkin,neutral
"Erick tohir egois
 Erick tohir menghancurkan timnas",Youtube,erick tohir egois erick tohir menghancurkan timnas,negative
"Pak Erick , Bung Justin, Bung Towel Bung Arya sinulingga dkk bahagia lihat ini
 Jadi marilah kita ikut bahagia
 Move on dari Mr STY
 Karna Mr Sty hanya dibantu pemain Naturalisasi dan tidak belajar bahasa Ingrris😂😂😂😂😂😂",Youtube,pak erick bung justin bung towel bung arya sinulingga dkk bahagia lihat ini jadi marilah kita ikut bahagia move on dari mr sty karna mr sty hanya dibantu pemain naturalisasi dan tidak belajar bahasa ingrris,positive
sebenernya eranya ET bagus cuma ya mafia mafianya aja yang selalu menggabungkan antara sepak bola dg politik,Tiktok,sebenernya eranya et bagus cuma ya mafia mafianya saja yang selalu menggabungkan antara sepak bola dg politik,positive
"Pelatih kepala :coach justin
 Assisten : towel
 Kepala tim analisis :akmal
 
 permainan total football akan kita dapatkan tanpa proses proses",Youtube,pelatih kepala coach justin assisten towel kepala tim analisis akmal permainan total football akan kita dapatkan tanpa proses proses,neutral
"""Susah betuuulllll Indonesia ya"" 
 bener-bener resah fakkk",Youtube,susah betuuulllll indonesia ya benar benar resah fakkk,neutral
"Cepat sembuh bang Hanif, dan selamat datang di komunitas My Friend bang Panji!",Youtube,cepat sembuh bang hanif dan selamat datang di komunitas my friend bang panji,positive
Dari Januari sejak berita pemecatan STY saya sudah menyuarakan pesimisme dan kecewa dengan PSSI. Dan sekarang terbukti betapa blundernya keputusan ET.,Youtube,dari januari sejak berita pemecatan sty saya sudah menyuarakan pesimisme dan kecewa dengan pssi dan sekarang terbukti betapa blundernya keputusan et,negative
"sedih ya ngeliat STY di pecat, semoga bisa kembali lagi",Tiktok,sedih ya ngeliat sty di pecat semoga bisa kembali lagi,negative
tapi kenyataan itu telah hancur,Tiktok,tapi kenyataan itu telah hancur,negative
"Waktu STY jadi pelatih timnas, gw ngeliat atmosfer GBK itu luar biasa banget, anak-anak muda, orang tua, pada semangat ke stadion, bahkan orang kantor gw yang kaga pernah ke GBK malah rebutan cuti buat berangkat. Kelihatan banget optimisme dari suporter karena memang STY melatih dari hati, jadi meskipun sulit buat lolos, entah kenapa pemain pada yakin kalo mereka bisa bawa timnas ke pildun. Makasi ya ET, berkat manuver politik loe, timnas jadi amburadul, ga usah alesan ini itulah, yakin gue alesannya ga jauh dari politik.",Youtube,waktu sty jadi pelatih timnas saya ngeliat atmosfer gbk itu luar biasa banget anak anak muda orang tua pada semangat ke stadion bahkan orang kantor saya yang kaga pernah ke gbk malah rebutan cuti buat berangkat kelihatan banget optimisme dari suporter karena memang sty melatih dari hati jadi meskipun sulit buat lolos entah kenapa pemain pada yakin kalo mereka bisa bawa timnas ke pildun makasi ya et berkat manuver politik kamu timnas jadi amburadul tidak usah alesan ini itulah yakin saya alesannya tidak jauh dari politik,positive
Bahas2timnas bosan tak ada prestasi hancur,Youtube,bahas timnas bosan tidak ada prestasi hancur,negative
biar kalah yg penting sama sty,Tiktok,biar kalah yang penting sama sty,negative
Terima kasih coach STY,Youtube,terima kasih coach sty,positive
Panji makeupnya berlebihan 😭,Youtube,panji makeupnya berlebihan,neutral
"Pikiran para petinggi pssi, dikira banyak pemain bagus siapapun pelatihnya bakal lolos",Youtube,pikiran para petinggi pssi dikira banyak pemain bagus siapapun pelatihnya bakal lolos,positive
Kalaupun kalah bersama sty saya bisa ikhlas.,Tiktok,kalaupun kalah bersama sty saya bisa ikhlas,negative
jangan bersedih bapa kami masih merindukan kamu tolong balikin lagi jadih pelatih timnas indonesia plis bapa aku rinduh dengar suara bapa ðŸ¥°ðŸ¥°ðŸ¥°,Tiktok,jangan bersedih bapa kami masih merindukan kamu tolong balikin lagi jadih pelatih timnas indonesia tolong bapa aku rinduh dengar suara bapa,negative
sip,Youtube,sip,neutral
"Kenapa Jens Raven ngga dimainkan sebagai starter dari awal waktu lawan Philipina, Coach ?",Youtube,kenapa jens raven tidak dimainkan sebagai starter dari awal waktu lawan philipina coach,neutral
"Teruslah bersuara bung Feri mewakili rakyat yg tidak punya media spt ini. Jangankan Proyek Kereta api cepat, Sepak bola itu SATU2NYA hiburan rakyat saat ini ditengah ketidak pastian saja masih saja KAMI DIKIBULIN terutama exco PSSI si Arya Sinulingga, TOWEL, Justin Laksana tetep bela2in Patrick...
 Kalau banyak yang bilang coach TERBAIK itu STY itu karena BUKTI dan Bentuk penghargaan dan penghormatan kami pada STY karena ini bentuk budaya kita berterima kasih pada semua orang yg BERJASA",Youtube,teruslah bersuara bung feri mewakili rakyat yang tidak punya media spt ini jangankan proyek kereta api cepat sepak bola itu satu nya hiburan rakyat saat ini ditengah ketidak pastian saja masih saja kami dikibulin terutama exco pssi si arya sinulingga towel justin laksana tetep bela in patrick kalau banyak yang bilang coach terbaik itu sty itu karena bukti dan bentuk penghargaan dan penghormatan kami pada sty karena ini bentuk budaya kita berterima kasih pada semua orang yang berjasa,positive
Salah dikit mundur salah dikit mundur kapan maju nya euy sty udah bagus bukanya di suruh improve malah di pecat diganti si goblin yang harus adaptasi lagi,Youtube,salah dikit mundur salah dikit mundur kapan maju nya euy sty sudah bagus bukanya di suruh improve malah di pecat diganti si goblin yang harus adaptasi lagi,positive
Tiba2 muncul diberanda,Youtube,tiba muncul diberanda,neutral
Emang sty kurang ...kalo bagus hak.mungkin di pecat😂,Youtube,emang sty kurang kalo bagus hak mungkin di pecat,positive
Selamat utk PSSI dan jajarannya...,Youtube,selamat utk pssi dan jajarannya,positive
"Masih sedih dan kesel liat pk itu loh gue😢, sty love you both",Youtube,masih sedih dan kesel liat pk itu loh saya sty love you both,negative
STY PELATIH AMPAS😂😂,Youtube,sty pelatih ampas,negative
"Katanya persiapan nya matang 
 Katanya siap mental
 Katanya punya strategi 
 Kok Maennya kayak gak pernah latihan yaa... Atau memang kualitas nya begitu ???
 Aku lihat babak pertama kok gitu amat maennya",Youtube,katanya persiapan nya matang katanya siap mental katanya punya strategi kok maennya kayak tidak pernah latihan yaa atau memang kualitas nya begitu aku lihat babak pertama kok gitu amat maennya,neutral
"pas era shin Tae young lawan china kalah 2:1 kalian hujat sty,bilang styout lah itu lah.giliran sekarang pada mau sty kembali lawakÂ²ðŸ˜…ðŸ˜‚",Tiktok,pas era shin tae young lawan china kalah kalian hujat sty bilang styout lah itu lah giliran sekarang pada mau sty kembali lawak,negative
sudah di bangun dan di hancurkan,Tiktok,sudah di bangun dan di hancurkan,negative
"Jgn cuci tangan koci,jejak digital ketika anda mendorong sty out itu ada 
 Plin plan,si paling belanda,belanda lu aman",Youtube,jgn cuci tangan koci jejak digital ketika anda mendorong sty out itu ada plin plan si paling belanda belanda kamu aman,neutral
ini makin rapuh aja,Youtube,ini makin rapuh saja,neutral
kembali ke era kegelapan ðŸ—¿,Tiktok,kembali ke era kegelapan,neutral
towel kok gak ada komen soal kek gini dulu koar koar hahah udh ketebak permainan PSSI selamat PSSI udh menghancurkan semua nya senang kan Kelen,Tiktok,towel kok tidak ada komen soal kek gini dulu koar koar hahah sudah ketebak permainan pssi selamat pssi sudah menghancurkan semua nya senang kan kelen,negative
Tim pelatih sama PSSI ampas,Youtube,tim pelatih sama pssi ampas,negative
Terimakasih STY tp kita tetap harus mendukung pelatih pengganti. Karena tujuan kita sama. Percuma juga kalau TDK setuju kalau diganti,Youtube,terimakasih sty tp kita tetap harus mendukung pelatih pengganti karena tujuan kita sama percuma juga kalau tidak setuju kalau diganti,positive
Penipu bukan cuma dr uang SJ tp ini pengurus PSSI penipu masyarakat.habis uang buat poya poya alasan buat memajukan sepak bola tp nyatanya malah mrk merusak uang buat poya poya SJ sungguh biadap.,Youtube,penipu bukan cuma dari uang sj tp ini pengurus pssi penipu masyarakat habis uang buat poya poya alasan buat memajukan sepak bola tp nyatanya malah mrk merusak uang buat poya poya sj sungguh biadap,neutral
Yang salah adalah pelatih jangan melebar kemana2.pelatih uda jelas minim taktik .dari dulu gaya mainnya sayap krosing kedepan .krasang krosing 😂😂 engk berubah rubah ya kebaca .uda mudur jentel,Youtube,yang salah adalah pelatih jangan melebar kemana pelatih uda jelas minim taktik dari dulu gaya mainnya sayap krosing kedepan krasang krosing engk berubah rubah ya kebaca uda mudur jentel,neutral
"Terlepas dari smua polemik yg ada, kita care dan berterima kasih ke STY krna sdah mmbawa TIMNAS smpai detik ini,, untuk kedepan kita ttap harus dukung PSSI, TIMNAS dan Pelatih Baru...",Youtube,terlepas dari smua polemik yang ada kita care dan berterima kasih ke sty krna sdah mmbawa timnas smpai detik ini untuk kedepan kita ttap harus dukung pssi timnas dan pelatih baru,positive
ko ikut sedih yaðŸ˜­,Tiktok,ko ikut sedih ya,negative
"Selamat utuk timnas,karena udah pulang duluan😀😀😀",Youtube,selamat utuk timnas karena sudah pulang duluan,positive
"Bpk ketum ERIK TAHIR lebih mengerti dan memahami kebutuhan Timnas saat ini dan pergantian pelatih sudah melalui KEPUTUSAN yang matang ,,,kami percaya KETUM BPK ERIK TAHIR, DEMI KEPENTINGAN TIMNAS DI MASA DEPAN❤❤❤❤",Youtube,bpk ketum erik tahir lebih mengerti dan memahami kebutuhan timnas saat ini dan pergantian pelatih sudah melalui keputusan yang matang kami percaya ketum bpk erik tahir demi kepentingan timnas di masa depan,neutral
indo menang coyy tadi malam 3-1,Tiktok,indo menang coyy tadi malam,positive
"biang kerok kegagalan timnas adlh et, Arya towel,yg SDH menghancurkan hrpn pmain dn rkyt indo tk main k pildun,dgn menyingkirkan sty",Youtube,biang kerok kegagalan timnas adlh et arya towel yang sudah menghancurkan hrpn pmain dn rkyt indo tk main k pildun dgn menyingkirkan sty,negative
"Bearti masalah nya adalah sty selalu gak mau dengar wacana2 pssi yg menghancurkan timnas.. 
 Sty gak mau ikut drama.. 
 Sty gak mau di ajak kerja sama menanda tangani pemain titipan yg di naturalisasi.. 
 Sty juga gak mau merubah pondasi yg telah ia buat.. Dengan blue print nya erik yg gak jelas.. 
 
 Makanya dia di pecat.. 
 Setuju gak dgn pendapat saya..?",Youtube,bearti masalah nya adalah sty selalu tidak mau dengar wacana pssi yang menghancurkan timnas sty tidak mau ikut drama sty tidak mau di ajak kerja sama menanda tangani pemain titipan yang di naturalisasi sty juga tidak mau merubah pondasi yang telah ia buat dengan blue print nya erik yang tidak jelas makanya dia di pecat setuju tidak dgn pendapat saya,negative
"setelah ganti pelatih, kita wajib tuntut lolos pildun, masuk semi final Asia, tembus 90 dalam 1 tahun, klo gagal exco pssi out, setuju?",Tiktok,setelah ganti pelatih kita wajib tuntut lolos pildun masuk semi final asia tembus dalam tahun klo gagal exco pssi out setuju,neutral
