text_clean,sentiment
hee sapri gombal kamu tidak tau malu,neutral
setuju bang sty sudah membawa sepak bola indonesia bagus,positive
pak presiden ambil tindakan pssi sudah hancur di bawah pk ketum erik tohir,negative
mnrt saya grafik sty sudah mengalami puncaknya jadi sekarang tinggal menurunnya terbukti dg keputusannya wkt melawan china shg knp dia tidak mau dikritik sbg pelatih handal dia hrs menerima kritik dari segala fihak termasuk pemain kesalahan fatalnya diikutin dg menurunkan pemain junior di aff jiwa superiornya meluntur shrs dia mempertahankan ranking fifanya yang cukup tinggi agar tetap stabil apapun resikonys shg tidak diremehkan org krn para pemain sudah siap dg segala resiko jadi se olah tidak percaya kpd squadnya yang siap bertanding dan parahnya menjadi tertawaan team lain,negative
baru kali ini nangisi pelatih sepakbola thankyou coach,positive
saya akui sty membawa kita sampe sini tapi menurutku tepat evaluasi di lakukan karena gameplay sty parah dari arti kurang efektif dari pergantian pemain line up taktik semua tidak bisa di terima apapun keputusan saya tetep dukung sekalipun hariono jadi pelatih timnas,negative
towel senyum bahagia,positive
kalah menang itu biasa yang jadi masalah timnas bermain semakin buruk timnas tidak mampu mengatasi tekanan meskipun berasal dari tim lemah organisasi permainan buruk pola permainan tidak ada skema serangan dalam mencetak gol juga tidak pernah ada timnas semakin mengalami kemunduran semakin jauh mensejajarkan diri dg tim asia lain yang menjadi gerbang tiket ke piala dunia spt jepang korea arab australia,negative
biasa nonton timnas era sin balik ke sini jd kaya tarkam sekarang pindah tontonan ke persib saya,negative
shin tae yong setelah pergi langsung ancur,negative
keren om ded sty stay,positive
jgn rangkap jabatan lah pilih salah satu sepak bola hancur tu,negative
pelawak yang sok tau tentang bola,neutral
nanti jg dipakai lagi nih kan sudah maaf dari dulu sudah dikasih kesempatan nihil semuanya piala asia gagal asean games gagal,neutral
sty adalah pelatih timnas indonesia senior tersukses setidaknya dalam tahun terakhir,positive
walaupun aku kecewa dgn sistem permainan nya yang tidak berubah stlh banyak didatangkan pemain keturunan tapi aku tetap mengucapkan trimakasih menurutku hal terbesar yang dilakukan coach shin selain mencetak sejarah adalah berani memotong generasi,neutral
setelah ganti pelatih kita wajib tuntut lolos pildun masuk semi final asia tembus dalam tahun klo gagal exco pssi out setuju,neutral
se bangat karena piala dunia belum selesai setelah piala dunia kalah bolehlah dievaluasi atau apalah keuntungan dilatih orang korea itu pertama mereka terapkan kedisiplinan tegas kalau ada yang bilang orang korea keras hampir semua orang korea laki laki dan perempuan tegas karena didik dari negara mereka jadi tidak ada yang bisa mengintervensi mereka,negative
king polo king polo,neutral
sty di pecat dgn tidak manusiawi org yang sudah sepenuh hati membangun karakter sepak bola indonesia,neutral
haduh sedih banget saya sty yang susah payahnya bangun timnas dari nol sampai jayanya rangking fifa brubah membaik dan trakhir bawa menang timnas vs arab di qulelifikasi sampe bawa timnas ke peringkat kalo platih lain belum tentu bisa bawa menang arab vs indo sekelas argentina jha keok ma arab ini indo tim asia bisa mengalahkan lagannan piala dunia berkat dilatih sty sedih rasanya saya gimna ni nanti nasib timnas kedepannya,negative
saya percaya penuh sama pak ketum et sejauh ini pun kebijakan dan keputusan yang diambil masih sesuai dengan visi misi beliau untuk pesepakbolaan indonesia ada yang populis ada yang tidak tapi semua demi kebaikan dan perbaikan ini negara demokrasi silakan beropini dan menyampaikan aspirasi tapi ingat jangan toxic apalagi anarkis dan tetap dukung timnas garuda karena mereka yang berjuang membawa nama indonesia,negative
erick thohir muncul pak redakan situasi cepat ambil solusi seperti dulu awal kepemimpinan bapak lupakan sejenak ego itu jika memang tidak bisa memimpin silahkan mundur persetan dengan perkataan tidak ada pengganti yang lebih baik dari bapak toh memang timnas kita sudah hancur lebih baik riset dari awal dengan beda penggurus daripada nanti sudah di jalan benar di hancurkan kembali,negative
selamat ya untuk pak erik tohir arya sinulingga,positive
sty gamungkin balik banyak yang gasuka sampe dipecat masa diminta balik lagi,neutral
panji makeupnya berlebihan,neutral
sudah kebaca pasti indonesia bakalan kalah di sea games krna ingin mengembalikan modal bnyak keluar uang waktu naturalisasi masal,negative
masalahnya bang kata peter drury nearly is nothing hancur sudah tuh abang abang saya s alan maafkan orang orang di negeri ini coach shin,negative
sedih,negative
ibarat buang btc palah pilih manta,neutral
mundo,neutral
ini karna ada mafia bola kale ya atau ada politik di pssi,neutral
timnas paling ampas ini mah,negative
kesini cuma buat unsuscribe sorry pandji partner anda bias,neutral
pak et menang jagoannya merusak harapan bangsa indonesia,positive
aku bukan pecinta bola tapi kok sedih ya,negative
knp raven tidak main babak pertama oon kan astaga kecewaa lagi,negative
sakit banget hati saya liat potensi besar timnas garuda saat ini yang malah dihancur leburkan oleh orang yang lebih mengedepankan ego,negative
masih tidak prcya,neutral
yang salah adalah pelatih jangan melebar kemana pelatih uda jelas minim taktik dari dulu gaya mainnya sayap krosing kedepan krasang krosing engk berubah rubah ya kebaca uda mudur jentel,neutral
orang awam saja bingung yang mengganti sty hancur cur indra safri salah strategi tapi ya tidak separah menir pk,negative
mainnya tarkam banget haha,negative
zainuddin amali adalah manusia yang paling bertanggung jawab dia lah yang ngotot mencalonkan si sjafri jadi pelatih kepala timnas seagames bisa bisa nya pelatih yang sudah gagal berkali kali dan sudah di pecat terpilih kembali di pertandingan ini jelas terlihat pola permainan tidak ada mengandakkan serangan sporadis akal si sjafri buntu mau spam crossing dan cut back tapi di block kiri kanan ayo pssi jadikan si sjafri yang tidak punya strategy tidak punya akal jadi pelatih abadi timnas biar timnas hancur lebur sekalian,negative
selamat buat bang safri anda pelatih yang tidak ada duanya di negeri ini dan anda layak jadi pelatih mu majalaya united,positive
saya nangis sumpillll apalgi pas bagian pemain dan pelatih pelukan,neutral
strategi terbaik menghindari thailand vietnam dan filipina di semifinal adalah dengan cara tidak lolos ke semifinal keren sih,positive
sekarang sudah ganti platih tinggal tatap kedepan selalu dukung timnas,neutral
emang seperti itulah kemampuan pelatih ya,neutral
pengurus pssi sudah buta peemainan jamn sty bagus rapi malah dignti sama platih yang g tau apa apa,positive
kembalikan sty,neutral
saya seblm lawan filipina saya sudah yakin tanpa marselino tidak akan menang,positive
lagi lagi kesalahan beck yang tidak cepat ambil bola dan striker awal yang mandul,negative
pelatih ampas masih di pakek,negative
ya percuma kita kritik klo pssi jadi bahan politik menurut saya cukup bubarkan pssi karna selalu membuat kecewa,negative
produk cina memang selalu mendunia kok di sia siain,neutral
erik tohir kualat pecat sty rakyat indonesia bersedih ke kali pelatih sty d pecat tim nasional kalah sama australia,negative
kalu saya tepat krn ego sty kita kalah dgn china yang hrsnya seri atau menang hanya krn tidak mau duskusi atau dikritik dia tidak turunkan pemain terbaik hrsnya singkirkan ego demi profesionslonsl demi rakyt jndonesia demi yang komen sekarang ini,positive
sedih bgtt ingin nangis guee,negative
saya kemarin sempet berimajinasi bang timnas lolos kualifikasi dan ikut piala dunia semua masyarakat dari sabang merauke bisa nobar di jalan gang kelurahan pos siskamling secara gratis di tvri sedih banget itu cuma jd harapan semu,negative
terima kasih atas perjuangan kalian kegagalan bukanlah hal baru bagi tim ini ini adalah tradisi dan kalian sukses mempertahankannya selamat beristirahat lebih cepat agar dapat memulihkan stamina dan kondisi kalian kalian hanyalan prajurit di lapangan kekalahan dan kemenangan adalah tanggung jawab panglima perang bukan pada kalian terima kasih untuk raven jenner doni tri yang sedikit memberi muka pada tim ini,positive
semenjak sty dipecat timnas indonesia hancur lebur dgn kepelatihan terbaik pssi pantas target seagames cuma perak dari pssi ternyata lolos fase grup sj hancur lebur dipermalukan oleh filipina dan myanmar,negative
sty pergi hampir sama seperti ketika ronaldo keluar dari stadion kiev mereka pergi bukan karena memberi luka tapi mereka pergi karena telah memberi kita bahagia sangking bahagianya kita sempat beberapa saat menyesali kepergiannya,positive
aku tidak liat shintayoung membuat sedih,negative
eric wajib mundur,neutral
indonesia kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah negara lain menang menang menang menang menang menang menang menang menang menang,neutral
fifa saja lihat wasit curang sembarangan diam indonesia di curang bahrain qatar di sulitkan china fifa buat apa denda doang duit tidak ada sanksi nyata fisik federasi tanpa penonton atau gol di batalkan mereka yang punya duit bilang gampang nanti duit denda di ganti x lipat asal lawan kalah,negative
setuju bagus sty tidak ngelatihnya kalo saya setuju banget,positive
timnas curucao gantik pk malah punya chance untuk lolos pildun,neutral
apapun yang terjadi tetap support timnas tanpa perlu menjatuhkan dan menyerang sty coach sty dari awal melatih sampai selesai selalu mendapatkan serangan tanpa pernah sedikitpun sty membalasnya dan sty tidak pernah sedikitpun menjelek jelekan orang orang di indonesia,negative
eric tohir pelan pelan akan di kutuk allah swt aamiin,neutral
erik tohir inikah timnas yang kamu inginkan,neutral
seorang ksatria ketiga gagal dalam sebuah misi akan berani bertanggung jawab dan mengambil sikap yang gentle stop alasan prosas proses terima kasih telah mengubur mimpi kami untuk menyaksikan timnas garuda masuk ke piala dunia semua karena erick dan patrick,positive
ko ikut sedih ya,negative
jersey nya kurang bagus,positive
kesalahan erik tohir saat mengganti sty kacang lupa pada kulitnya sty menggunakan jiwa raganya untuk indonesia,negative
ini mah timnas sengaja di membuat ancur ada sesuatu di pssi terutama tean exsco nya pemain semua itu,negative
saya sedih dan marah bukan karna gagal ke pildun nya tapi dirusaknya bahkan dihancurkannya perjuangan pengorbanan harapan kebanggaan dan kebahagiaan rakyat indonesia setelah sekian puluh tahun tidak ada yang bisa dibanggakan di sepakbola indonesia kondisi pada saat hidup di indonesia penuh dengan keburukan timnas memberikan angin segar bahwa masih ada kebaikan di negara ini kalau seandainya gagal ke pildun dg pelatihnya sty pasti tetap penuh kebanggaan karena kita berjuang bersama senang sedih sama merasakan rakyat indonesia harus bayar jika ingin menonton lewat streaming kemudian supporter harus membeli tiket yang tidak murah melihat kondisi ekonomi masyarakat belum lagi ongkos akomodasinya sampe rela keluar negeri para pemain naturalasasi yang mengorbankan kesempatan untuk bisa membela negara yang lebih jelas belum lagi karirnya yang tidak sedikit malah menjadi lebih sulit setelah di naturalisasi harusnya kalau masih manusia ya punya malu lah minimal mundur dg segera terutama head coach nya dan ketum pssi nya cuman mundur lho tidak harus ganti rugi semua pengorbanan supporter dan pemain dan kalau gentel ya mengaku salah dan minta maaf kepada rakyat indonesia syukur ke sty juga karena sudah mengkhianati sudah lah berkhianat gagal pula,negative
timnasindonesia,neutral
gagal dari target yang diharapkan sah sah saja wajar saja jika terjadi pelatih harus diganti karena gagal memenuhi ekspetasi yang tidak wajar adalah menghujatnya coba diambil gambaran dan hikmahnya dulu jerman gagal total di piala dunia sebagai tuan rumah maka joachim low menggantikan klinsman setelahnya low membangun timnas jerman namun tetap gagal di piala dunia membangun lagi timnas dan akhirnya berhasil di piala dunia sebagai juara rentang waktu tahun membangun timnasnya lagi gagal di piala dunia membangun lagi timnasnya namun tetap gagal di piala dunia rentang waktu begitu panjang dalam membangun timnas fakta kita gagal dari target harusnya memacu semangat yang lebih lagi untuk membangun timnas agar menjadi lebih baik dan mencapai target bukan menghujat serta mengkambing hitamkan terlintas pemikiran menggelitik apakah sebenarnya tohir menyelamatkan muka sty agar tidak menjadi kambing hitam kegagalan timnas peace terus melangkah maju timnas kegagalan jadikan cambuk semangat untuk meraih kejayaan,positive
podcast trivella selanjutnya seru ni patut untuk ndi tunggu,neutral
starting line up lawan china hasil lawan china menurut saya itu yang jadi salah satu alasan pssi evaluasi dari situlah menurut saya pssi melihat bukti bukti salah satunya di kalangan pemain di ruang ganti dan faktor faktor lainnya menurut saya saja apapun respect dan terima kasih coach sty,positive
erick thohir outtt,neutral
juta laki di indonesia menangis murung hampa akibat kekalahan tim kebanggan kita bersama karena ketika timnas bertanding di qualifikasi piala dunia itu lah pertandingan yang di nanti tapi kita di buat kecewa oleh orank yaituuuuu,negative
mundur saja dari dunia sepak bola ya syafri garuda yaksa juga harusnya pecat dia bahaya untuk bibit pemain berkualitas kalo masih ada syafri bisa hancurrrrrrrr,negative
sudah malas nonton timnas,negative
baju merah negara mana ya kalau indonesia saya rasa tidak seperti itu mainnya jauh sekali cara mainnya pada saat berlaga di piala asia kemaren koree selatan saja tunduk kalau yang ini kyak utusan dari tarkam,negative
sejak sty keluar jarang nonton bola karena g sekeren dulu permainannya,positive
ayo dong bung valen bawain timnas lagi,neutral
setiap timnas kalah dapet cuan x mereka,negative
sedih ya bang ferr yang lihat di tv saja sudah gedeg banget,negative
mau sampe kiamatpun kalo permainan kaya gini tidak bakal juara apapun mana kipernya gaje pelatih lebih oon pssi emang hebat kalo soal nurunin level timnas,positive
jika masih pk pelatih pssi hancur bsik mundur,negative
dosa pssi terlalu besar bro buat suporter terutama dosa terhadap sty berutung kots nova kami respek masi mejaga kesucian sty atas air mata dan keringat sty buat pssi dan ibu pertiwi buktinya kost nova berhasil bawa kamu ke pildun itu bkan andil kalian satu nca tapi legasi sty terbukti berhsil di kots nova dan itu nggk ada di pelatih lain gagal semua kan seandainxa kalo kots nova diberi tugas latih timas seagames saya yakin timnas jadi favorit juara jadi jgn trrlalu omon kalian perbaiki dan hapus dulu dosa kaliaan,positive
indra sjafri gausah di panggil coach lagi,neutral
knp indonesia jadi gini ya,neutral
naikan rengking sudah naik agak puncak dan meraih prestasi lolos piala asia kelompok umur dan senior cuman kalah lawan china langsung di tendang tidak tau pemikiran pssi,negative
seharusnya mmg bgitu meminta coach sty melatih dan dikontrak sampai ya lihatlah sampai selesai terlepas berhasil atau gagal dikualifikasi hargai kontrak dan perlakuan sty dg baik ini harga diri bangsa memperlakukan sty seperti itu rasanya menggunting dalam lipatan,neutral
semangat nyanmar selengkapnya,positive
erik tohir ketakutan jika namanya kalah tenar dg sty kocak kamu rik erik,negative
towel tor monitor ketua mission complate ketua,neutral
karbit indo win puji patrick indo kalah hina hedeh,negative
alhamdulillah indonesia menang semoga bisa juara bravo indra safri pelatih ini lebih bagus daripada sty atau petrik maju terus coach,positive
ternyata dulu pernah punya timnas sejago itu,neutral
mending nonton king persib di asia,neutral
sepakbola sudah bagus pelatih diganti,positive
sang juara bertahan yang target nya perak,positive
kenapa harus di pecat siiihhhh,neutral
bnr kta ank ny shintaeyoung,neutral
selamat tinggal baginda paduka king shin tae yong jasamu buat timnas indonesia akan selalu kami kenang,positive
thanks coach salut buat juga buat pak iwan bule brani kick simon dan hire coach shin walau tidak mudah awalnya,positive
tidak ada bagus nya permainan timnas kita,positive
ya klau ditinggalin sukses mala dihncurkan petrick,positive
engak jauh dari kata pasti bilang erik pasti kita evaluasi,neutral
maaf bukan tidak menghargai jasa pak et tapi kenapa figur se elegan beliau harus tunduk sama komentator dan praktisi bola yang prestasi nya saja tidak ada hingga harus ganti pelatih ditengah jalan apa karena mayoritas pemain inti kita dari belanda lalu harus pakai coach dari sana lalu brasil dan team elite lain juga punya pelatih yang tidak berkebangsaan sama koq cara main disiplin dan karakter team kalau harus bedain antara patrik kampret vs sty maka skor nya adalah vs,neutral
teruslah bersuara bung feri mewakili rakyat yang tidak punya media spt ini jangankan proyek kereta api cepat sepak bola itu satu nya hiburan rakyat saat ini ditengah ketidak pastian saja masih saja kami dikibulin terutama exco pssi si arya sinulingga towel justin laksana tetep bela in patrick kalau banyak yang bilang coach terbaik itu sty itu karena bukti dan bentuk penghargaan dan penghormatan kami pada sty karena ini bentuk budaya kita berterima kasih pada semua orang yang berjasa,positive
kemarin selalu bilang pelatih baru butuh waktu sekarang langsung validasi saya sudah bilang patrik pecat eh mana sih pendirian kamu budaya bahasa yang sama bukan jaminan koci lihat saja pemain brazil main di eropa tidak sebahasa tidak sama budayanya sukses sukses saja,positive
knp sih cok kan kita menang tolong kasi tau,positive
pahit sih cuma harus nerima kenyataan ibarat kamu harus putus dari doi kamu walaupun kamu masih cinta tapi keadaan yang memaksa kamu buat putus,neutral
emang dari dulu vietnam konsisten mainya emang bagus jadi siapa pun pelatihnya tinggal sedikit dipoles pemainya beda dengan indonesia banyak pr nya kita realistis saja,positive
yang penting pssi diskusi dgn org yang tepat untuk penunjukan pelatih baru jgn diskusi dgn org pengamat yang dulu lagi sampai kepilih kluivert,neutral
di depan mata saya sty ngalahi korea selatan tiba di sini hancur,negative
thanks sty,positive
mana nih yang bilang sty gabisa jadi pelatih baik,neutral
sudah dibilang beknya kadek arel itu bosok striker mauro itu bosok strurige juga klemak kelemer tidak ada peningkatan,neutral
wkwkw menang lawan arab saudi juga sty tidak di ajak di lokeroom inisiatip pemain diaspora alhasil menang lawn arab saudi,positive
respect coach,neutral
timnas yang sudah susah payah dibangun pondasinya oleh sty dihancurin tanpa sisa oleh et dan gerombolan genk belandanya,negative
gabisa main bola cuman dari umpan lemparan kedalam pake tangan anjeng anjengg,neutral
sedih lurrr coas sin ta yong tolong kembalilah ke untuk menjunjung tinggi dan moga timnas indonesia bisa tembus ke piala dunia,negative
klo tidak undur diri brarti emang sapri tidak tau maluuu squad mewah saja masih ampas,negative
noh shin tae yong barusan dipecat dari ulsan hyundai baru x main sudah dipecat cuma x ulsan hyundai menang dan ngomong kasar ke pemain dengan nada pelecehan berkedok demi disiplin pemain angkuh sok militer mentang pernah wajib militer tahun mending tidak usah sepakbola fokus badminton saja murah,positive
terimakasih sty tp kita tetap harus mendukung pelatih pengganti karena tujuan kita sama percuma juga kalau tidak setuju kalau diganti,positive
datang menghancurkan pergi debes vilaiin,negative
saya hanya ingin mengucapkan terima kasih coach sin tetap sehat keep healthy always,positive
ada ap dg timnas kita knp era sampah terulang kembali payahhh,negative
kartu merah buat pssi pildun gagal piala asia gagal sea games gagal,neutral
kritikan si towel membuat sty dipecat sekarang lihat hasil kritikan towel timnas kita semakin hancur saat ini dulu towel kritik sty strategi main nya parkir bus sekarang kita baru tau knpa sty main nya parkir bus ketika melawan tim yang kuat seperti australia dan japan kenapa kita harus bertahan kerana jika kita bermain terlalu menyerang kita akan kebobolan gol bnyk seperti yang dicontohkan oleh pelatih pactrik saat melawan australia beda saat sty yang melatih timnas imbang melawan australia di gbk jadi sitowel sudah bungkam jgn di undang ke acara tv lagi hanya menyesatkan saja,negative
kepelatihan terbaik belanda sekemmmmm coooooo,positive
kenyataannya coach sty membawa perubahan dan kemajuan yang pesat buat timnas indonesia beliau pergi dengan nama yang harum thanks coach buat semua pendukung timnas sisa pertandingan terakhir ayo bersatu berdoa bersama jangan justru terpecah kalo seluruh rakyat indonesia bersatu berdoa lolos piala dunia bukan hal yang mustahil intinya kita semua ingin timnas lolos itu akan semakin sulit jika pendukung terpecah bukankah bangsa ini berdiri karena persatuan satu tanah air satu keinginan satu tujuan ayo bersatu,positive
semangat indonesia salam dari malaysia,positive
aku salah satu orang yang bakal coba stop nonton timnas buat sementara tapi bukan karna aku mendukung timnas waktu berprestasi doang tapi lebih ke memberi efek jera buat federasi agar lebih berhati hati dalam mengambil keputusan kalau kita terus terusan maafin dan cuman ngoceh di sosmed tanpa kasih aksi yang berdampak sampek kapan pun itu federasi akan terus terusan semena mena dalam mengambil keputusan,positive
setuluss inii lohh,neutral
kenapa jens raven tidak dimainkan sebagai starter dari awal waktu lawan philipina coach,neutral
tetap semangat garuda muda,positive
liyat saja besok lawan bahrain bakal sebagus kala diera shin tae yong tidak,positive
sty itu pelatih kelas pildun ngelatih korsel yang top dunia pernah ngalahin jerman di pildun waktu jadi head coach korsel punya pengetahuan pemahaman dan jam terbang tinggi lawan tim asia yang dimana ini sangat penting karena sebelum ke pildun kita harus lewat kualifikasi yang lawannya tim asia semua malah dituker sama sekelas pk sungguh benar benar mindblowing,positive
wkwkw abis itu si erick saya yakin prabowo tau sepak bola itu salah satu atau mungki sebagian besar yang ngebuat bangsa ini tetap bisa bersatu walau ada masalah di ekonomi dengan gugurnya timnas maka tidak ada lagi hiburan pelarian kita untuk merasa menang,positive
kembalikan sty lgi,neutral
misi sapri dan towel sukses,positive
liga sudah libur tc smpe bulan pke pemain abroad cm ditarget perak hasilnya kalah dari filipina gagal lolos grub yang katanya generasi emas dan punya tim kepelatihan terbaik,neutral
sudah mulai kutukan sty,neutral
saya gapaham sama yang marah in ridho ampe digoblok in dan dibandingin yakob klok dkk kemaren padahal bedanya ridho maen bagus satu match tapi membuat satu blunder fatal yang mana wajar kita kesel tapi galayak untuk dibully habis an berbanding terbalik sama yang kemaren itu benar menit tidak ngapa in tetep gabaik dibully tapi keberadaannya di starting bench perlu dipertanyakan,positive
tinggal di dukung saja bnyak kali cerita indonesia gmna mau maju smua mau di ikut campurin,neutral
dengan coach sty pemain timnas khususun lokal pretttt diajari sepak bola marcelino asnawi witan ferarri riski ridho arhan kadek cahya supriadi doni tri arkhan kaka hasil polesan sty terima kasih coach sty atas dedikasimu,positive
sudah ayoo dkung timnas terimkasih sty ayo semngat dkung timnas indonesia dg kompisisi baru garuda tetap di dadaku,neutral
et mundur tetap dapat jabatan menpora,neutral
timnas seperti ini yang diinginkan towel dkk,neutral
sedih banget co lihat ini kenapa sepak bola juga ikut di rusak dengan kebobrokan negeri ini,negative
erik tohir out,neutral
sudah malas nonton timnas parah pssi nya euy mening nonton timnas persib njir ampas,negative
dari sumpah sampai propaganda dari nadi rakyat sampai sandiwara kami hidup di naskah yang sama berganti aktor tapi lakonnya serupa,neutral
dulu ketika sty yang melatih sprtinya hampir rata fans punya keyakinan utk menang ada sesuatu dlm sty yang tidak ada pada pelatih timnas sebelumny,positive
mending cari hobi lain mumpung masih muda,neutral
sty terbaik pssi terbodoh sepanjang masa,positive
menang x lawan china dan bahrain itu jg menang tipis dan salah nya dari penalti,positive
pelatih inggris tuh dari jerman woi sekarang botakkk pelatih belgia dari prancis pelatih portugal dari spanyol omongan tidak mutu si paling belanda,neutral
orang lama pemenangnya,positive
sty saja legowo atas apa yang dia terima masa pk dan et tidak ada rasa malu dan tanggungjawab nya atas kegagalan yang mereka ber pertaruhkan,neutral
udahlah pelatih baru saja gausah sty sty sudah capek banget sama dramadrama nyaa cari saja yang punya cv mentereng,neutral
bung sjafri bung sinulingga tidak ada yang lebih buruk timbang hancurnya kepercayaan dalam benak jutaan warga negara,negative
ambil pelatih dari japan aj kyak tim futsal kita sekarang maen bagus,positive
era kehancuran timnas indo sudah dekat,negative
pas era shin tae young lawan china kalah kalian hujat sty bilang styout lah itu lah giliran sekarang pada mau sty kembali lawak,negative
masih sedih dan kesel liat pk itu loh saya sty love you both,negative
terima kasih sty telah berjasa memberi prestasi latih timnas akan dikenang sepanjang masa oleh bangsa dan rakyat indonesia,positive
malu maluin lawan sekelas myanmar saja susah nyetak goll miris padahal sudah ada sisi terang sepak bola kita berkembang eh malah di hancur dengan sekejap olen orang aneh sudah tidak usah liat timnas lagi tidak pernah ada kemajuan ni sepak bola mending suport badminton saja yang sudah banyak prestasi nya,negative
tim yang tidak pernah lihat timnas seagames sekarang cung baru lihat sekarang dari highlightnya saja tidak enak di tonton pelatih itu ngaruh ya gaes,neutral
kembalikan sty saya,neutral
karma membuang orang yang baik tulus dalam membangun sepakbola indonesia,neutral
sepak bola ciri khasnya bermain tim dan bersatu kalau diliat dari kemarin dan hari ini saya rasa ada yang sedikit menjanggal dalam pertandingan indonesia bukan pemain tapi strategi because strategy is key masyarakat sudah tau siapa yang dibalik dibuatnya strategi selamat tidur dan semoga bermimpi indonesia angkat piala tahun lagi aminn,positive
sisapri kemarin jen raven di cadangin malah maenin arjuna pemain tarkam,negative
setiap timnas kalah dapet cuan x mereka,negative
harusnya raven lngsung main babak knpa malah mouro indra sapi lol,neutral
sty di aff juga ancur cok kalah lawan laos,negative
kalo saya dari awal lebih sayang duit negeri saya dari pada bayar orang baru daann pemain luar semuaa walaupun saya tidak expert di olahraga ini saya suka keindahan permainan sepak bola dan serunya tim bermain uangnya pake apbn kan harus ada pertanggung jawaban dari pemerintah dalam hal ini pssi dong uang keluar brp uang masuk brp ada yang ditilep apa tidak bukan begitu ya maaf kalau saya bego semua berproses tidak bisa instan kalo selama ini kita sabar menantikan pssi berubah jadi lebih baik kenapa kita tidak sabar dengan pemain yang bagus di kaderisasi dengan baik tidak ada suatu hal yang bagus itu instan apalagi pelatih baru masuk itu harus mengenal tipe pemain dari awal lagi maaf bagi saya ketua tim yang mengenal timnya dengan baik tahun pasti lebih baik dibanding yang mengenal tahun,positive
budaya mesti sama pundit plin plan,neutral
erick tohir mundur kluivert pecat tidak hormat sty kembali jadi pelatih senior dan kamu,neutral
ya allah kasian pemainnya sudah effort bgd itu pasti sedih bukan main huhuhu,negative
dari australia indonesia sebenarnya runtuh sudah argumen dan analisa yang mengharuskan ganti pelatih sepakbola perhitungannya tidak seperti teori ekonomi karena ambisi satu negara yang harus menanggung akibatnya bagi kami rakyat timnas adalah pelipur untuk mereka sesederhana jabatan baru sudah menanti,positive
satu satunya sumber kebahagiaan masyarakat indonesia tetep saja di rusak sama mereka,positive
gimana coach gimana eric tohir gimana pssi gimana smuanya masih mo pada jadikan setiap laga jadi ajang uji coba mulu entar kalo sudah kayak brasil maennya baru gitu lha ini baru juga anak indonesia nongol di berbagai ajang laga besar eh sudah dibantai sendiri sama para bandot tuh kesian mreka bos kesian anak indonesia pemain kita pada sungguh bela negara kalo kamu pade nyang harusnya jadi panutan mreka malah masih mental ancur gitu,negative
salpok sama lino yang nangis,neutral
