comment,compound,positive,negative,neutral,label
Dari pemilihan pemain berpengaruh pada mental dan karakter pemain,-0.9186,0.167,0.667,0.167,negative
Timnas yang di inginkan bung towell,-0.7906,0.0,0.545,0.455,negative
Pelatihnya itu saja Kalau tidak indra safri nova bima sakti,-0.9432,0.0,0.714,0.286,negative
Sebuah kemunduran,-0.7906,0.0,0.857,0.143,negative
Kita lihat sejauh apa timnas tanpa ayah saya karma is real,-0.25,0.318,0.364,0.318,negative
INDONESIA kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah NEGARA LAIN menang menang menang menang menang menang menang menang menang menang,-0.9945,0.338,0.648,0.014,negative
Kenapa Jens Raven tidak dimainkan sebagai starter dari awal waktu lawan Philipina Coach,-0.9001,0.185,0.519,0.296,negative
Masih harapin gol dari lempar lembing adu,-0.6124,0.25,0.5,0.25,negative
Ada yang nyender ini,-0.25,0.385,0.462,0.154,negative
Liga sudah libur Tc smpe 1 bulan Pke pemain abroad Cm ditarget perak Hasilnya Kalah 10 dari filipina Gagal lolos grub Yg katanya generasi emas dan punya tim kepelatihan terbaik,-0.9517,0.282,0.507,0.211,negative
Musuh terberat bukan orang luar negeri tapi orang dalam negeri,-0.7184,0.2,0.45,0.35,negative
Mending nnton futsal kelas main nya tidak buat kita emosi timnas futsal indonesia juga salah satu yang di takuti di asia,-0.8402,0.327,0.429,0.245,negative
iklannya kurang gede,-0.25,0.375,0.5,0.125,negative
Info open fight dng pengurus pssi,-0.765,0.241,0.639,0.12,negative
Mulai dari penanganan bencana sampai sepakbola tidak ada yang beres negara ini,-0.9325,0.316,0.579,0.105,negative
Bingung mau komentar apa Padal uji coba lawan India yang peringkatnya di atas kita kita bisa ngimbangin ini yang tim selevel di ajang ini bahkan kalah semoga lekas membaik,-0.9818,0.225,0.549,0.225,negative
Memilukan sudah menang tetap gagal lolos karena myanmar cetak 1 goal,-0.25,0.419,0.452,0.129,negative
Lagi lagi kesalahan beck yang tidak cepat ambil bola dan striker awal yang mandul,-0.9891,0.14,0.76,0.1,negative
mengapa Revan tidak dari awal mainnya,-0.8402,0.188,0.625,0.188,negative
Kalah di hujat menang tidak bersyukur Jen jen,-0.7906,0.355,0.548,0.097,negative
Menang tidak selalu menyenangkan wkwkwk Karena tetap saja tidak lolos,-0.8402,0.409,0.568,0.023,negative
306 presiden Sapri kita sebut saja nama ny El sujud,-0.6124,0.211,0.421,0.368,negative
Pecat indra Sjafri,-0.7906,0.0,0.75,0.25,negative
Harus semua orang akui Jens Revan tu mengingatkan kita dengan C Gonzales finisingnya bagus lho dari dulu konsisten cetak goal bahkan cuma dia pemain dpn Timnas sekarang yang selalu cetak goal seharus pantas naik ke senior Koqmalah hoki dengan zilsta yang kesenior aneh ini titipan,-0.9799,0.22,0.462,0.319,negative
Umpan panjang kedepan bolapemain lari tidak ada lagi bola dari kaki kekaki yang rapi,-0.9517,0.273,0.614,0.114,negative
Strategi terbaik menghindari Thailand Vietnam dan Filipina di semifinal adalah dengan cara tidak lolos ke semifinal Keren sih,-0.7184,0.188,0.344,0.469,negative
ini makin rapuh saja,-0.25,0.333,0.444,0.222,negative
Murni kesalahan coach ini dalam pemilihan pemain untuk sea games,-0.7906,0.19,0.476,0.333,negative
Kenapa tidak dari awal jens raven sama mauro iya,-0.6124,0.318,0.455,0.227,negative
Ganti semua kepelatihan di PSSI faktor pelatih yang Utama,-0.8402,0.296,0.556,0.148,negative
bahkan formasi nya pun tidak bisa diketahui formasi apa yang dipakai,-0.9325,0.242,0.606,0.152,negative
Sebernya kualitas pemain lokal Indonesia sama Tarkam itu tidak beda jauh kalau untuk skil Cuma beda kasta saja wkwkwk,-0.9682,0.241,0.63,0.13,negative
Ulah erik,-0.8402,0.0,1.0,0.0,negative
IS kurang bisa menilai kemampuan pemainkenapa lawan Philipina raven tidak dimainkanhokinya bagus siraven ini,-0.7906,0.303,0.455,0.242,negative
Erick Thohir Toel Justin tidak ada kabar masih hidup tidak sih,-0.4588,0.379,0.414,0.207,negative
Info loker dong di PSSI,-0.6124,0.0,0.5,0.5,negative
GENERASI ERA TIMNAS AANNJINNNGGG,-0.6124,0.0,0.571,0.429,negative
meninggalkan victor dethan dan arkhan fikri adalah kesalahan fatal ivar tidak dapat tandem yang pas,-0.9799,0.159,0.659,0.182,negative
Baru kali ini banyak supporter yang mendoakan timnas kita tidak lolos dari fase grup Dampak dari besar kepalanya federasi dalam hal memilih pelatih,-0.9313,0.344,0.507,0.149,negative
berat berat kalau timnas seperti begini cari pelatihya harus lbh baik,-0.9001,0.16,0.64,0.2,negative
penggemar fomo menang pun di anggap kalah,-0.6124,0.278,0.5,0.222,negative
Ini koci tidak nyaranin pakai pelatih belanda lagi,-0.7906,0.211,0.526,0.263,negative
Yg di inginkan mafia bola,-0.7906,0.0,0.6,0.4,negative
Balik lagi ke setingan pabrik,-0.8402,0.0,0.727,0.273,negative
Lagian raven ferari dari awal saja,-0.875,0.176,0.706,0.118,negative
Tekanan publik sepertinya jadi beban merekaketika jaman sty publik saling dukung hingga hasil akhir juga bagus Sekarang publik terpecah padahal tim yang sekarang harusnya lbh bagus karena ada bule 4 tapi ternyata mlh melempem,-0.9001,0.301,0.425,0.274,negative
Kita kalah terhormat,-0.7184,0.0,0.714,0.286,negative
Gara2 keghoblhokan kesombongan dan keegoisan Erick Thohir Arya Sinulingga Towel dan Justinus Lhaksana memecat STY jadinya timnas Indonesia mendapatkan banyak karma buruk di sepanjang tahun 2025 padahal tahun lalu 2024 itu adalah puncak prestasi kita bahkan dihancurkan begitu saja,-0.875,0.138,0.293,0.569,negative
Sudah dibilang beknya kadek arel itu bosok striker Mauro itu bosok Strurige juga klemak kelemer tidak ada peningkatan,-0.4588,0.265,0.353,0.382,negative
Selamat datang kembali di masa kegelapan timnas indonesia Bung towel dan kawan-kawan yang saat sty masih ada selalu datang mengkritik menghujat walau sudah menang tapi sekarang kemana itu orang Hebat mafia sepakbola indonesia initarget mereka timnassepakbola indonesia tidak boleh maju Jika ada kemungkinan makin bagus harus segera diturunkan lagi level nya Gw sudah lihat pola nya dari final aff 2010generasi evan dimas lalu terakhir sty yang susah payah membangun bahkan dipecat saat peluang masuk pildun sangat terbuka Begitulahtimnas merosot turun maka mafia akan bergembira,-0.9638,0.34,0.41,0.25,negative
Alhamdulillah tidak lolos,-0.7184,0.353,0.647,0.0,negative
Bosen kalau pas lihat berita Timnas akan lolos jikablsblabls tergantung pertandingan lainblsblabla,-0.7184,0.353,0.5,0.147,negative
Satu kata untuk permainan timnas u23 MEMBOSANKAN,-0.4084,0.271,0.457,0.271,negative
IKLANNYA KURANG GEDE BANGG,-0.25,0.333,0.444,0.222,negative
Bukan masalah menang atau kalah Tpi makin mundur dari segi permainan Tapi iya begitulah Indonesia,-0.9517,0.205,0.59,0.205,negative
Permainan ivar jenner sangat buruk saat di latih indra safri jadi egois gg bisa melihat ruang kosong dan salah ambil keputusan sangat berbeda ketika dia di latih STY,-0.9501,0.355,0.499,0.146,negative
Ini bukan sepak bola tapi lempar bola,-0.8402,0.0,0.615,0.385,negative
Ga apa apa broooo taxkan SM Is,-0.8402,0.0,0.615,0.385,negative
Serius tanya Kenapa Ravens terlambat masuk yang lebih dulu masuk Malah Hokky Caraka,-0.9584,0.156,0.625,0.219,negative
Keren sih selamat atas tidak lolosnya timnas kita,-0.7184,0.273,0.5,0.227,negative
apa lagi alasan erik supaya ngak mundur dari pssi,-0.9682,0.0,0.833,0.167,negative
Kasian ivar jener,-0.6124,0.0,0.667,0.333,negative
Pa Erick Dua instasi pemerintah tidak boleh dipegang satu orang Sudah mentri Pegang ketua umum PSSI lagi,-0.7906,0.357,0.452,0.19,negative
sisafri hanya bisa Maska air biar matangbeda dng bolaaaa,-0.6124,0.143,0.429,0.429,negative
Bertebaran pemain bule hanya dua kali main pulang,-0.9001,0.227,0.636,0.136,negative
Tarjet perak bang erik masih terlalu tinggi wkwkwkw,-0.4588,0.333,0.444,0.222,negative
pemain lini tengah malas mundur,-0.25,0.444,0.5,0.056,negative
kualat sty,-0.7184,0.0,0.833,0.167,negative
Terus terang saya sengaja tidak nonton tadi malam sudah malas lihat timnas cmn sekelas tarkam,-0.875,0.289,0.526,0.184,negative
alasannya apa smpe raven di cadangkan dari 2 laga pelatihnya tidur kali iya,-0.6124,0.19,0.381,0.429,negative
Yah padahal dari tahun kemarin sudah ingin sombong karena kita masuk pildun Sekarang Sea Games saja kita jadi bot Erik Erikk,-0.9719,0.133,0.6,0.267,negative
kasian iya tim nas,-0.875,0.0,0.818,0.182,negative
Aselii sedang apa nunjuk indra Sjafri jelasjelas dia pelatih amatiran,-0.6124,0.211,0.421,0.368,negative
Saya yakin pemainnya bagus cuma strateginya tidak ada,-0.4588,0.429,0.5,0.071,negative
Ko hambar iya tahun ini Se game tidak begitu viral,-0.8402,0.15,0.5,0.35,negative
Nanti kali 2035baru juara asia kekekeekekek,-0.4588,0.0,0.375,0.625,negative
Bisa kita lihat mengapa STY ngotot memakai orngorang pilihannya karena dia pasti tahu orang yang di pilih itu orang yang paham taktiknya walaupun pemain itu biasa saja,-0.9818,0.225,0.592,0.183,negative
tidak lolos iya,-0.9186,0.0,0.917,0.083,negative
sebelum sea games dimulai ada netijen yang komen kalau timnas itu palingan hy bisa juara 3 di seagames ini banyak netijen lain yang nyolot sama komennya trmasuk saya karena bagi kbanyakan netijen yah kitalah juaranya sejelek2nya runner up memang sih netijen yang mmprediksi juara 3 itu salah ternyata netijen itu justru sedikit mrendah lolos grup pun tidak sebelum laga terakhir netijen indonesia untung vietnam tidak main mata setelah laga terakhir netijen malaysia untung myanmar tidak main mata,-0.9958,0.225,0.52,0.254,negative
kulitas pelatih yang hk tahu pemain mana saja yang fi pasang,-0.7906,0.368,0.526,0.105,negative
Pancen aneh si saprimengapa raven tidak dimainkan,-0.25,0.312,0.375,0.312,negative
Mauro zilstra saja masih kalah bagus dari jens bahkan starting terus kocak banget,-0.9186,0.179,0.571,0.25,negative
Knapa rekan 5dkmainkan dari babak pertama,-0.6124,0.294,0.529,0.176,negative
GAYA PERMAINAN MASIH JAUH DARI HARAPAN,-0.875,0.0,0.692,0.308,negative
Lawan myanmar sudah seperti lawan arab saudi Berat banget kyaknya sepak bola indonesia di semua umur semenjak ET buat blunder semuanya jadi merambat kayak listrik arus pararel,-0.25,0.365,0.346,0.288,negative
Olah raga sebol yang di anak emas kan kalah sama olah raga lain yang sudah dapat banyak medali mas,-0.8402,0.364,0.473,0.164,negative
Sudah banyak pelatih timnas indonesia tidak berpengaruh juga permasalahan ada di SDM pemain pemain depan hanya menunggu minim pergerakan pemain tengah sering kalah 1 lawan 1 pemain belang menghadang bola dari jarak 3m dengan lawan sering oper bola ke belang mati ide selain fisik dan teknik pemain timnas juga harus dilakukan tes IQ,-0.9849,0.324,0.504,0.173,negative
Semenjak sintayoung di pecat Udah malas lihat timnas,-0.8402,0.2,0.55,0.25,negative
Nonton timnas flat BNR rasa ny Kek tidak ada greget2 ny skrng,-0.6124,0.217,0.391,0.391,negative
Beda banget kualitasnya wktu piala asia kemarin ivar jener tidak ada tandem minimnya pmain sayap Lini blkng lemahh Kmrn bisa klhn yordania australia koreaa dengan prmainan bgini sulit untuk brsaing di piala asia u23 nanti,-0.7184,0.211,0.298,0.491,negative
Safri safri ini tidak cocok diajang international,-0.25,0.312,0.375,0.312,negative
Bisa bisa pemain diaspora kita malas tidak mau lagi bela timnas Bukan masalah nasionalisme tapi lebih pada carut marutnya pengurus PSSI,-0.9834,0.2,0.633,0.167,negative
INI BARU ASEANYANG DIHADAPI BARU FHILIPINAMYANMARTIMNAS EMPOT EMPOTANBELUM MALAYSIAVIETNAMTHAILANDartinya kelas kita cuma segitusekelas LaosSingapuraTimor Lestemyanmarmayoritas pemain ini gagal semua ditiap turnamenkualifikasi piala asiaAFF dan sekarang sea games,-0.9719,0.0,0.488,0.512,negative
Jir bneran jadi tidak trtarik buat nonton timnas saat ini Dari vs Filipina kemarin smpai Myanmar jdwl tanding saja tidak tahu saya Tiba2 saja sudah nongol skor nya wkwkw,-0.9682,0.265,0.515,0.221,negative
Dampak mafiaaajdi pecundang,-0.6124,0.0,0.667,0.333,negative
Kadek Arel bek gemoy begitu sedang apa sih dipake,-0.6124,0.0,0.333,0.667,negative
Bahaya ini timnas kalau ET masih jadi ketum PSSI Sty harus in Semua hancur setelah sty out,-0.9584,0.062,0.562,0.375,negative
Menangis,-0.7906,0.0,1.0,0.0,negative
Salah pelatih mencadangkan jeans naldo,-0.25,0.333,0.417,0.25,negative
Pak kumis terbukti sebagai pelatih hebat Hebat tidak dipecat Jelas2 dari awal tidak meyakinkan Beda cerita dengan sty Mungkin si bapak ini pegang rahasia besar,-0.25,0.409,0.424,0.167,negative
Makin parah,-0.6124,0.333,0.667,0.0,negative
rupanya level timnas kita cuma sampai level grup asean,-0.7906,0.167,0.5,0.333,negative
tim yang tidak pernah lihat timnas Seagames sekarang cung baru lihat sekarang dari highlightnya saja tidak enak di tonton pelatih itu berpengaruh iya gaes,-0.9638,0.306,0.542,0.153,negative
Mending pelatihnya agen agung saja sekalian dripada taktik nya itu itu melulu,-0.9432,0.111,0.667,0.222,negative
Salah pelatih lebih salah lagi yang pilih indra safry Dan kenapa pak indra masih mau jadi pelatih sih pak,-0.7906,0.36,0.46,0.18,negative
JANGANKAN MEDALI PERAKMEDALI BESI AJA NGGAK NEMU INIWALAU SUDAH DIBANTU OLEH VIETNAMKITA JUGA BELUM BISA MEMANFAATKANNYAINI GAMBARAN KECIL DARI BIBIT TIMNAS SENIOR AKAN DATANGSURAMSEHARUSNYA PSSI MALU DAN HARUS BERTANGGUNGJAWAB ATAS SEMUA RENTETAN KEGAGALAN DENGAN MUNDUR DARI TAMPUK JABATAN MEREKAKARENA INI SEMUA ATAS KESALAHAN FEDERASI DALAM MENGAMBIL KEPUTUSANCAPE JADI FANS TIMNAS DIKASIH HARAPAN TANPA UJUNGYANG RELA BERKORBAN BIAYA DAN TENAGA DIMANAPUN TIMNAS BERTANDINGTAPI PSSI SENDIRI YANG MENGHANCURKAN MIMPI SEPAKBOLA INDONESIA YANG SUDAH DIBANGUN LAMA,-0.9923,0.292,0.489,0.219,negative
terus mau apa lagi timnas ini,-0.25,0.353,0.471,0.176,negative
Ivar seperti nya tidak dapat tandem yang pas di lapangan tengah Di sepak bola itu terkadang ada nama nya pemain cocokan Pemain bagus jika tidak cocok sama tmen sekitar nya seperti tidak kelihatan Jgn bandingin sama pemain bintang yang bisa main bagus dmna saja Itu beda level,-0.9682,0.352,0.492,0.156,negative
Komentatornya menyamakan pemain kayak dukun katanya bisa membaca kiper Myanmar akan membuat kesalahanwkwkwkwkwkwkwkw,-0.9001,0.226,0.581,0.194,negative
Kesombongam pssi tidak sadar emas kamboja dari didikan siapa,-0.7906,0.25,0.5,0.25,negative
sudah tradisi pemain tengah tidak terlihatlari lari tidak karuanumapn salah melulu,-0.975,0.184,0.737,0.079,negative
sapri sududnya tidak mengarah ke kiblatngwur tu orang,-0.9186,0.0,0.647,0.353,negative
lemparan jauh apa sih ngandelin gtuan,-0.875,0.0,0.692,0.308,negative
Kasihan sama pemain diaspora Di kasih pemain lokal dan pelatih lawak Sedih sedih,-0.7184,0.39,0.488,0.122,negative
Pertahankan sapri kiamat,-0.4588,0.286,0.571,0.143,negative
Target ketinggian Filipina,-0.4588,0.0,0.6,0.4,negative
ke stelan pabrik lagi,-0.6124,0.0,0.571,0.429,negative
Towel matamu wel towel ndi GK wani komen wel kegelapan yang hakiki,-0.9186,0.0,0.524,0.476,negative
Penyesalan indra Syafri karena raven dicadangkan padahal raven lebih tinggi chemistry dari Mauro,-0.4588,0.261,0.348,0.391,negative
Kalah menang itu biasa Yg jadi masalah timnas bermain semakin buruk Timnas tidak mampu mengatasi tekanan meskipun berasal dari tim lemah Organisasi permainan buruk Pola permainan tidak ada Skema serangan dalam mencetak gol juga tidak pernah ada Timnas semakin mengalami kemunduran Semakin jauh mensejajarkan diri dengan tim Asia lain yang menjadi gerbang tiket ke Piala Dunia seperti Jepang Korea Arab Australia,-0.9948,0.321,0.556,0.123,negative
Timnas paling memalukan gagal di fase grup dan kalah lawan Filipina untuk pertama kalinya,-0.9432,0.074,0.556,0.37,negative
Timnas riset pabrikmulai dari 0 seperti pom bensindi ajak level asia tidak mau maunya level aseanitulah anjuran dari mister towel,-0.9186,0.2,0.525,0.275,negative
pemain tidak sesuai intruksi dan masih disimpan strategi tunggu lengser IS,-0.7184,0.261,0.435,0.304,negative
2024 kelas nya sudah asiasekarang Asean saja keok,-0.7906,0.211,0.579,0.211,negative
ampas banget ini oi kalah efektivitas gol sama malaysia match ini kalau tidak kebobolan lolos menang GD tapi kali ini coach el penyelamat tidak bisa berbuat banyak,-0.9432,0.288,0.485,0.227,negative
Baju merah negara mana iya Kalau indonesia saya rasa tidak seperti itu mainnya Jauh sekali cara mainnya pada saat berlaga di piala asia kemarin Koree selatan saja tunduk Kalau yang ini kyak utusan dari tarkam,-0.9923,0.125,0.65,0.225,negative
Ever since they Failed to qualified for the world cupEvery thing went Down Hill for the Indonesian team Feel maaf for them,-0.5106,0.165,0.241,0.594,negative
Penayangan liga indonesia ambil alih RCTI oke,-0.6124,0.214,0.429,0.357,negative
MAKIN HARI MAKIN PARAH TIMNAS KITA MENPORA HARUS PECAT KETUM PSSI DAN EXCO KARENA GA BECUS,-0.9584,0.205,0.564,0.231,negative
We miss STY,-0.7184,0.0,0.714,0.286,negative
Tengahnya masih koyo jenner terlalu lama bawa bola,-0.8402,0.125,0.562,0.312,negative
Lokal prettt bisa apa,-0.6124,0.0,0.571,0.429,negative
Sudah tidak kcewa lagi kalau indonesia tidak lolos karena dari match prtamaprmainan sdah tidak meyakinkan,-0.9861,0.16,0.74,0.1,negative
Gambarnya kok jelek amat iya,-0.25,0.357,0.429,0.214,negative
Sejak di tinggal sty Timnas jadi bahan tertawaan tim lain apalagi tim yunior dilatih indra Safri Malah parah sama pilipina saja kalah Seumur 2 timnas tidak pernah kalah dengan pilipina baru kali kalah,-0.9951,0.099,0.679,0.222,negative
Indra Safri itu gajinya murah local merakyat jadi logika saja semua orang di PSSI tu otaknya pengusaha jadi wajar ada yang murah biarpun rusak ambil dan pertahankan soalnya kalau mahal nanti anggaran PSSI habis,-0.7184,0.393,0.44,0.167,negative
tidak perlu ditonton timnas era kegelapan ini teman-teman,-0.6124,0.2,0.4,0.4,negative
Kadek arol jangan di pakecoach tidak resep saya pemain kaya gitubikin sial Kadek arol,-0.9638,0.184,0.632,0.184,negative
wow ini siaran timnas jaman dulu iya Timnas jaman dulu memang parah umpan2nya salah terus beda jauh dengan Timnas sekarang yang sudah bagus umpan2nya skema serangan juga sudah lumayan,-0.9648,0.291,0.521,0.187,negative
SAMPAI KAPANPUN TIMNAS INI TETAP MENGECEWAKAN SUKSESLAH ATAS PRESTASINYA MEMPERTAHANKAN MANAJEMEN KOLUSI DAN PRINSIP SEGOLONGAN MENYEDIHKAN,-0.8402,0.219,0.438,0.344,negative
sjk ptrick datang laga indonesia sudah sngt tidak menarik,-0.4588,0.36,0.44,0.2,negative
towel mana nihh kok tidak teriak teriak lagi,-0.9682,0.0,0.87,0.13,negative
heraan dengan PSSI peltih yang berkali2 gagal masih tetap di pakai saja yang bisa bawa timnas naik ranking mlh di buang,-0.9682,0.174,0.543,0.283,negative
Indo mode era kegelapan,-0.6124,0.0,0.571,0.429,negative
kenapa harus kalah lawan philipina jadi target lolos lawan myanmar semakin membebani timnas,-0.9001,0.29,0.516,0.194,negative
Gabisa main bola Cuma dari umpan lemparan kedalam pakai tangan anjeng anjengg,-0.9432,0.172,0.621,0.207,negative
Era kegelapan kena azab Dzolim sama sty yang sudah berjuang dengan tulus,-0.6124,0.371,0.457,0.171,negative
Inget tidak dulu towel dan kawan-kawan nyinyir ke sty pas kita gagal playoff olimpiade Sekarang sea games saja tidak lolos Inikah yang dicari,-0.9899,0.071,0.661,0.268,negative
pakai kalah sama filipin sih tidak lolos kan,-0.9325,0.167,0.667,0.167,negative
Nggak perlu di tnton percumagak bakalan lolos,-0.25,0.357,0.357,0.286,negative
terus apa yang mau di banggakan kalau sepak bolanya seperti ini terushilangnya STY sepak bola indinesia melorot drastis,-0.8402,0.295,0.5,0.205,negative
Kembali pola lama,-0.25,0.4,0.5,0.1,negative
Dari 3 pelatih yang megang Tim iniyg busuk di babak penyisihan STY Dan Indra Safriyg bisa masuk semifinal cuma Vanenburg,-0.9872,0.082,0.694,0.224,negative
main aggk berkembangpantas tidak lolos mendingan nonton liga tarkam,-0.9325,0.13,0.652,0.217,negative
Kemunduran yang amat menyakitkansemua karena keegoisan seorang pemimpin pssi,-0.9186,0.192,0.615,0.192,negative
WAJIB MASUKIN HOKKY CARAKA DULU,-0.4588,0.0,0.429,0.571,negative
Tidak jelas pola permainan Team makanya Gagal lanjut,-0.4588,0.458,0.458,0.083,negative
Piala dunia buyaraff GK lolos sea games gagal juga terus mau apa lagi yang ditonton coba lebih baik lihat japan ajl lah bisa jadi refensi untuk anak cara main bola yang baik dan benar,-0.7184,0.393,0.405,0.202,negative
Mau alasan apa lagikenyataannya timenas menurun performanya di semua levelkemarin alasan waktu yang terlalu sempittrus sedang apa saja 2 THN yang lalu jadwalnya sudah ada,-0.9584,0.284,0.537,0.179,negative
Maaf maaf saja mau di era siapa saja pemain tim nas saya tidak pernah suka permainnannya heheh kalau di bulu tngkis danvolly baru suka,-0.8402,0.355,0.468,0.177,negative
Mending cari hobi lain selagi masih muda,-0.9186,0.15,0.75,0.1,negative
Heran sekali saya gunanya hokky itu apa dari dulu Kenapa tidak jens raven main dari awal halahh siapa sih yang nitipin hokky di timnas,-0.9719,0.224,0.569,0.207,negative
Sayang indonesia tidak lolos Jika skor 30 atau 41 indonesia lolos,-0.9325,0.148,0.593,0.259,negative
Mau alasan apa lagi PSSI,-0.25,0.375,0.5,0.125,negative
dari sekian 270M penduduk kualitas sepakbola Indonesia sangat buruk,-0.25,0.375,0.417,0.208,negative
Kontrol header passing hancur begitu Hal basic begitu tidak diperdalam pada balik lagi saja sana ke SSB,-0.975,0.0,0.647,0.353,negative
1 Ini sesuai target Erik yang tidak menargetkan emas 2 Coach Sapri boleh diberi kesempatan lagi selama target bukan juara 1 karena banyak kputusannya yang tepat A Dari sejak lawan filipina lebih memilih mainkan StruikHoki ketimbang Raven B Doni yang biasa main di kiri ditaruh di kanan 3 Selamat hancur bola kita,-0.9799,0.262,0.466,0.272,negative
Dulu beliau juara dia pikir karena sujud cium rumput Ehhh Setelah STY tidak ada Rupanya faktor STY beliau juara,-0.7184,0.333,0.422,0.244,negative
Batasi pemain asing liga 1,-0.6124,0.0,0.571,0.429,negative
